algorithm,primal_lb,gap_pct,instance,status,time_elapsed,rnd_seed,num_items,num_classes,optimal
mckp,995350.0,0.0,jlvhwb_1200_100,feasible,363.785481609,jlvhwb,1200,100,True
compact,974443.0,1.2771727100473944,ezuebw_400_20,feasible,3600.0003609657288,ezuebw,400,20,False
compact,1004125.0,9.154439949138358e-05,lqyhsi_400_20,feasible,4.225166082382202,lqyhsi,400,20,True
mckp,503930.0,0.0,hokaoo_1200_20,feasible,49.078063048,hokaoo,1200,20,True
compact,1001343.0,9.986578039115428e-05,kntgxd_400_20,feasible,328.5461127758026,kntgxd,400,20,True
mckp,501212.0,0.0,knszgm_400_20,feasible,72.442644098,knszgm,400,20,True
mckp,1001880.0,0.0,noigss_600_20,feasible,72.59772403699999,noigss,600,20,True
compact,1004403.0,9.956153101739935e-05,baxdqz_1000_20,feasible,0.0820198059082031,baxdqz,1000,20,True
mckp,1001660.0,0.0,mxxmta_1000_20,feasible,112.177440654,mxxmta,1000,20,True
mckp,602677.0,0.0,boqbxp_400_20,feasible,65.479388515,boqbxp,400,20,True
mckp,1011269.0,0.0,jxslap_1000_100,feasible,216.920248888,jxslap,1000,100,True
compact,1000198.0,0.1366621636381019,uujgzr_1200_20,feasible,3600.001037836075,uujgzr,1200,20,False
compact,970684.0,1.1321334717038227,iukhmv_600_20,feasible,3600.0005111694336,iukhmv,600,20,False
mckp,1004570.0,0.0,xlqxzf_600_20,feasible,79.202578856,xlqxzf,600,20,True
compact,976805.0,4.0021028046547576e-05,wnpdwe_1200_100,feasible,2.328940868377685,wnpdwe,1200,100,True
compact,1005732.0,9.94299679934933e-05,yzehni_400_100,feasible,0.1082580089569091,yzehni,400,100,True
mckp,976190.0,0.0,zkyqoe_1000_100,feasible,333.828453065,zkyqoe,1000,100,True
mckp,1011440.0,0.0,xphdhl_1200_100,feasible,266.068708556,xphdhl,1200,100,True
compact,1004494.0,0.0,hkiapy_600_20,feasible,0.1223180294036865,hkiapy,600,20,True
mckp,1011602.0,0.0,dbucyr_1000_100,feasible,336.95061521900004,dbucyr,1000,100,True
compact,1001000.0,9.99000000999e-05,wfgceu_400_20,feasible,10.646646976470947,wfgceu,400,20,True
compact,1003867.0,0.0419966012711295,tgxvpt_600_20,feasible,3600.000515937805,tgxvpt,600,20,False
compact,976441.0,0.0,kwphyl_800_20,feasible,0.2307190895080566,kwphyl,800,20,True
mckp,992543.0,0.0,kbhhsc_1000_20,feasible,48.28225105200001,kbhhsc,1000,20,True
mckp,1000024.0,0.0,awfngg_1200_20,feasible,53.946647175,awfngg,1200,20,True
compact,501887.0,0.0,hhnbfy_800_20,feasible,0.0076549053192138,hhnbfy,800,20,True
mckp,1003187.0,0.0,pkowig_1000_20,feasible,110.276223463,pkowig,1000,20,True
mckp,1005249.0,0.0,mbdyyp_1200_100,feasible,285.366211852,mbdyyp,1200,100,True
compact,515533.0,0.0,qcxbkt_600_20,feasible,0.014927864074707,qcxbkt,600,20,True
compact,503577.0,0.0,awbaut_800_20,feasible,0.0144019126892089,awbaut,800,20,True
compact,502018.0,0.0,swbkrg_1000_20,feasible,0.0308330059051513,swbkrg,1000,20,True
mckp,974731.0,0.0,xpmdnv_1200_20,feasible,50.074205618,xpmdnv,1200,20,True
compact,615395.0,0.0,iqdulz_1200_100,feasible,0.0032229423522949,iqdulz,1200,100,True
mckp,1003181.0,0.0,dxnalb_800_20,feasible,48.456061686,dxnalb,800,20,True
mckp,1017373.0,0.0,igjmuv_1200_100,feasible,237.311354999,igjmuv,1200,100,True
compact,1004750.0,9.952714652685093e-05,dcrtiq_600_100,feasible,0.1128768920898437,dcrtiq,600,100,True
