algorithm,primal_lb,instance,status,time_elapsed,num_items,num_classes,repetition,pisinger_R,knapsack_generator,optimal
compact,79578.0,uncorrelated_similar-rnduniform-rnduniform-200-20-9,feasible,0.008329153060913,200,20,9,100000,uncorrelated_similar,True
compact,7908322.0,uncorrelated_10000-rnduniform-rnduniform-2000-100-4,feasible,0.1123650074005127,2000,100,4,10000,uncorrelated,True
compact,3357445.0,almost_strongly_correlated_10000-rnduniform-rnduniform-1000-100-9,feasible,0.2439639568328857,1000,100,9,10000,almost_strongly_correlated,False
compact,2541870.0,weakly_correlated_10000-rnduniform-rnduniform-1000-20-2,feasible,0.0623388290405273,1000,20,2,10000,weakly_correlated,False
compact,265153.0,almost_strongly_correlated_1000-rnduniform-rnduniform-1000-500-0,feasible,0.0122270584106445,1000,500,0,1000,almost_strongly_correlated,True
compact,233118.0,profit_ceiling_10000-rnduniform-rnduniform-100-20-3,feasible,0.2172698974609375,100,20,3,10000,profit_ceiling,True
mckp,52170.0,profit_ceiling_1000-rnduniform-rnduniform-200-20-5,feasible,0.359460749,200,20,5,1000,profit_ceiling,True
mckp,280047.0,inverse_strongly_correlated_1000-rnduniform-rnduniform-1000-20-8,feasible,27.957880596,1000,20,8,1000,inverse_strongly_correlated,True
mckp,286332.0,weakly_correlated_1000-rnduniform-rnduniform-1000-20-8,feasible,45.614859059,1000,20,8,1000,weakly_correlated,True
mckp,45909.0,profit_ceiling_1000-rnduniform-rnduniform-200-20-3,feasible,0.6009506490000001,200,20,3,1000,profit_ceiling,True
mckp,623810.0,almost_strongly_correlated_1000-rnduniform-rnduniform-2000-100-4,feasible,10.880170486,2000,100,4,1000,almost_strongly_correlated,True
compact,311737.0,almost_strongly_correlated_1000-rnduniform-rnduniform-1000-100-4,feasible,0.1960210800170898,1000,100,4,1000,almost_strongly_correlated,True
compact,260703.0,circle_1000-rnduniform-rnduniform-500-20-9,feasible,0.3981919288635254,500,20,9,1000,circle,True
mckp,233447.0,weakly_correlated_10000-rnduniform-rnduniform-100-20-0,feasible,2.208231336,100,20,0,10000,weakly_correlated,True
mckp,53196.0,inverse_strongly_correlated_1000-rnduniform-rnduniform-200-20-7,feasible,0.375624994,200,20,7,1000,inverse_strongly_correlated,True
mckp,4684869.0,subset_sum_10000-rnduniform-rnduniform-2000-100-2,feasible,91.830738794,2000,100,2,10000,subset_sum,True
compact,2869725.0,almost_strongly_correlated_10000-rnduniform-rnduniform-1000-20-0,feasible,0.2702429294586181,1000,20,0,10000,almost_strongly_correlated,False
compact,844099.0,span_strongly_correlated_1000-rnduniform-rnduniform-2000-20-8,feasible,0.0295319557189941,2000,20,8,1000,span_strongly_correlated,True
compact,626859.0,almost_strongly_correlated_1000-rnduniform-rnduniform-2000-20-5,feasible,3600.0014159679413,2000,20,5,1000,almost_strongly_correlated,False
compact,1952204.0,span_uncorrelated_10000-rnduniform-rnduniform-1000-100-4,feasible,3600.00079703331,1000,100,4,10000,span_uncorrelated,False
mckp,237503.0,subset_sum_1000-rnduniform-rnduniform-1000-100-2,feasible,1.602410051,1000,100,2,1000,subset_sum,True
compact,822624.0,uncorrelated_1000-rnduniform-rnduniform-2000-20-8,feasible,0.0332069396972656,2000,20,8,1000,uncorrelated,True
compact,5288079.0,profit_ceiling_10000-rnduniform-rnduniform-2000-100-8,feasible,0.0405740737915039,2000,100,8,10000,profit_ceiling,False
mckp,3780219.0,span_weakly_correlated_10000-rnduniform-rnduniform-1000-20-9,feasible,121.356581395,1000,20,9,10000,span_weakly_correlated,True
mckp,1427604.0,inverse_strongly_correlated_10000-rnduniform-rnduniform-500-20-8,feasible,37.441504163,500,20,8,10000,inverse_strongly_correlated,True
mckp,395043.0,uncorrelated_similar-rnduniform-rnduniform-1000-20-8,feasible,1556.141006867,1000,20,8,100000,uncorrelated_similar,True
compact,443920.0,circle_1000-rnduniform-rnduniform-1000-100-1,feasible,0.093109130859375,1000,100,1,1000,circle,True
compact,452121.0,profit_ceiling_1000-rnduniform-rnduniform-2000-100-0,feasible,0.0732951164245605,2000,100,0,1000,profit_ceiling,True
